Unnamed: 0,Brand,Price,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,Battery_Life
1186,Honor,54490,Intel Core i5 (13th Gen),Intel, 8 GB Expandable,8 GB LP, LPDDR4X RAM , 2.1 Ghz Processor,LCD,14,UHD,Intel,512 GB SSD Storage,No HDD,65, Upto 11.5 Hrs Battery Life
1187,Lenovo,109990,Intel Core i7 (13th Gen),Intel,Not Expandable,16 GB , DDR5 RAM, 2.2 Ghz Processor,LCD,14,UHD,Intel,512 GB SSD Storage,No HDD,65,65W Adapter
1188,Lenovo,125999,Intel Core i7 (13th Gen),Intel, 16 GB Expandable,16 GB LP, LPDDR5X RAM , 2.2 Ghz Processor,LCD,14,"RTX A500 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,100,100W Adapter
1189,HP,41500,Intel Core i3 (12th Gen),Intel, 8 GB Expandable,8 GB , DDR4 RAM , 4.2 Ghz Processor,LCD,15.6,UHD,Intel,512 GB SSD Storage,No HDD,65,65W Adapter
1190,MSI,119990,Intel Core Ultra 7,Intel,Not Expandable,16 GB LP, LPDDR5 RAM, 4.8 Ghz Processor,LCD,16,Integrated Arc,Intel,1024 GB SSD Storage,No HDD,no,
1191,Acer,31999,Intel Core i3 (12th Gen),Intel, 64 GB Expandable,8 GB , DDR4 RAM , 4.2 Ghz Processor,LCD,15.6,UHD,Intel,512 GB SSD Storage,No HDD,no,Upto 7 Hrs Battery Life
1192,Acer,42990,Intel Core i3 (13th Gen) Processor,Intel, 8 GB Expandable,8 GB LP, LPDDR5X RAM ,0,LCD,15.6,UHD,Intel,256 GB SSD Storage,No HDD,65,65W Adapter
1193,HP,78490,AMD Hexa-Core Ryzen 5,AMD, 8 GB Expandable,8 GB LP, LPDDR4X RAM , 4.2 Ghz Processor,LCD,15.6,Radeon,AMD,512 GB SSD Storage,No HDD,65,65W Adapter
1194,Lenovo,70990,Intel Core i5 (12th Gen),Intel,Not Expandable,16 GB , DDR5 RAM, 3.1 Ghz Processor,LCD,15.6,"GeForce RTX 3050 GPU, 6 GB",NVIDIA,512 GB SSD Storage,No HDD,170,170W Adapter
1195,Lenovo,94190,AMD Octa-Core Ryzen 7,AMD,Not Expandable,16 GB LP, LPDDR5 RAM, 2.7 Ghz Processor,LED,14,Radeon 680M,AMD,1024 GB SSD Storage,No HDD,65,65W Adapter
